阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
不經意	不经意	bùjīngyì	not paying attention, carelessly, by accident	[sound:cmn-不经意.mp3]
不景氣	不景气	bù jǐngqì	depressive, in depression, in depressing state, recession	[sound:cmn-不景气.mp3]
不堪	不堪	bùkān	can't bear/stand	[sound:cmn-不堪.mp3]
不服	不服	bùfú	not to accept sth, to want to have sth overruled or changed, to refuse to obey or comply, to refuse to accept as final, to remain unconvinced by, not to give in to	[sound:cmn-不服.mp3]
不可思議	不可思议	bùkě-sīyì	inconceivable (idiom), unimaginable, unfathomable	[sound:cmn-不可思议.mp3]
不可避免	不可避免	bùkěbìmiǎn	unavoidably	[sound:cmn-不可避免.mp3]
不肯	不肯	bù kěn	Refuse	[sound:cmn-不肯.mp3]
不理	不理	bùlǐ	to refuse to acknowledge, to pay no attention to, to take no notice of, to ignore	[sound:cmn-不理.mp3]
不了了之	不了了之	bùliǎo-liǎozhī	to settle a matter by leaving it unsettled, to end up with nothing definite	[sound:cmn-不了了之.mp3]
不難	不难	bù nán	Not difficult	[sound:cmn-不难.mp3]
不平	不平	bùpíng	dissatisfaction	[sound:cmn-不平.mp3]
不起眼	不起眼	bùqǐyǎn	unremarkable, nothing out of the ordinary	[sound:cmn-不起眼.mp3]
不如說	不如说	bùrú shuō	rather say	[sound:cmn-不如说.mp3]
不同尋常	不同寻常	bùtóngxúncháng	unusual	[sound:cmn-不同寻常.mp3]
不為人知	不为人知	bùwéirénzhī	not known to anyone, secret, unknown	[sound:cmn-不为人知.mp3]
不惜	不惜	bùxī	not stint, not hesitate (to do sth.)	[sound:cmn-不惜.mp3]
不容	不容	bùróng	must not, cannot, to not allow, cannot tolerate	[sound:cmn-不容.mp3]
不相上下	不相上下	bùxiāngshàngxià	equally matched, about the same	[sound:cmn-不相上下.mp3]
不已	不已	bùyǐ	incessantly, endlessly	[sound:cmn-不已.mp3]
不宜	不宜	bùyí	be unsuitable	[sound:cmn-不宜.mp3]
不以為然	不以为然	bùyǐwéirán	disagree, not approve of, acceptable, object to, consider sth. not so, take exception to, right	[sound:cmn-不以为然.mp3]
不由自主	不由自主	bùyóu-zìzhǔ	can't help, involuntarily (idiom)	[sound:cmn-不由自主.mp3]
不予	不予	bùyǔ	to withhold, to refuse	[sound:cmn-不予.mp3]
不由得	不由得	bùyóude	can't help, cannot but	[sound:cmn-不由得.mp3]
不約而同	不约而同	bùyuēértóng	happen to coincide, coincidentally do sth.	[sound:cmn-不约而同.mp3]
不知	不知	bùzhī	not to know, unaware, unknowingly, fig. not to admit (defeat, hardships, tiredness etc)	[sound:cmn-不知.mp3]
不知不覺	不知不觉	bùzhī-bùjué	unconsciously, unaware	[sound:cmn-不知不觉.mp3]
不准	不准	bùzhǔn	not to allow, to forbid, to prohibit	[sound:cmn-不准.mp3]
布局	布局	bùjú	arrangement, composition, layout, opening (chess jargon)	[sound:cmn-布局.mp3]
步入	步入	bùrù	go into, walk into	[sound:cmn-步入.mp3]
步驟	步骤	bùzhòu	process, instance, demarche, method, measure, approach, procedure, place, step, move	[sound:cmn-步骤.mp3]
部件	部件	bùjiàn	part, component	[sound:cmn-部件.mp3]
步伐	步伐	bùfá	pace, (measured) step, march	[sound:cmn-步伐.mp3]
部署	部署	bùshǔ	dispose, deploy	[sound:cmn-部署.mp3]
猜謎	猜谜	cāi mí	Guess	[sound:cmn-猜谜.mp3]
猜想	猜想	cāixiǎng	to guess, to conjecture, to suppose, to suspect	[sound:cmn-猜想.mp3]
財經	财经	cáijīng	finance and economics	[sound:cmn-财经.mp3]
財力	财力	cáilì	financial resources	[sound:cmn-财力.mp3]
財務	财务	cáiwù	finance, financial affairs, financial	[sound:cmn-财务.mp3]
才華	才华	cáihuá	literary talent, artistic talent, literary, literacy, flair, literary/artistic talent	[sound:cmn-才华.mp3]
財政	财政	cáizhèng	finance	[sound:cmn-财政.mp3]
裁	裁	cái	to cut out (as a dress), to cut, to trim, to reduce, to diminish, to cut back (e.g. on staff), decision, judgment	[sound:cmn-裁.mp3]
財物	财物	cáiwù	property, belongings	[sound:cmn-财物.mp3]
裁定	裁定	cáidìng	ruling	[sound:cmn-裁定.mp3]
採	采	cǎi	pick, gather	[sound:cmn-采.mp3]
裁決	裁决	cáijué	ruling, adjudication	[sound:cmn-裁决.mp3]
採礦	采矿	cǎi kuàng	mining	[sound:cmn-采矿.mp3]
彩虹	彩虹	cǎihóng	rainbow, CL:道[dao4]	[sound:cmn-彩虹.mp3]
彩電	彩电	cǎidiàn	color TV	[sound:cmn-彩电.mp3]
彩霞	彩霞	cǎixiá	clouds tinged with sunset hues	[sound:cmn-彩霞.mp3]
菜市場	菜市场	càishìchǎng	food market	[sound:cmn-菜市场.mp3]
採集	采集	cǎijí	oyster, collect, gather, pick up and put together	[sound:cmn-采集.mp3]
參見	参见	cānjiàn	to refer to, see also, confer (cf.), to pay respect to	[sound:cmn-参见.mp3]
參謀	参谋	cānmóu	staff officer, to give advice	[sound:cmn-参谋.mp3]
參軍	参军	cān jūn	to join the army	[sound:cmn-参军.mp3]
餐桌	餐桌	cānzhuō	dining table, dinner table	[sound:cmn-餐桌.mp3]
參照	参照	cānzhào	to consult a reference, to refer to (another document)	[sound:cmn-参照.mp3]
殘留	残留	cánliú	to remain, left over, surplus, remnant	[sound:cmn-残留.mp3]
殘缺	残缺	cánquē	badly damaged, shattered	[sound:cmn-残缺.mp3]
殘	残	cán	to destroy, to spoil, to ruin, to injure, cruel, oppressive, savage, brutal, incomplete, disabled, to remain, to survive, remnant, surplus	[sound:cmn-残.mp3]
殘忍	残忍	cánrěn	cruel, mean, merciless, ruthless	[sound:cmn-残忍.mp3]
慚愧	惭愧	cánkuì	ashamed	[sound:cmn-惭愧.mp3]
慘痛	惨痛	cǎntòng	bitter, painful, deeply distressed	[sound:cmn-惨痛.mp3]
慘重	惨重	cǎnzhòng	disastrous	[sound:cmn-惨重.mp3]
慘白	惨白	cǎnbái	deathly pale	[sound:cmn-惨白.mp3]
蒼蠅	苍蝇	cāngying	housefly, CL:隻|只[zhi1]	[sound:cmn-苍蝇.mp3]
滄桑	沧桑	cāngsāng	great changes, abbr. of 滄海桑田|沧海桑田[cang1 hai3 sang1 tian2]	[sound:cmn-沧桑.mp3]
艙	舱	cāng	cabin, the hold of a ship or airplane	[sound:cmn-舱.mp3]
燦爛	灿烂	cànlàn	brilliant, glitter, splendid, resplend, resplendent, magnificent	[sound:cmn-灿烂.mp3]
藏品	藏品	cángpǐn	museum piece, collector's item, precious object	[sound:cmn-藏品.mp3]
藏匿	藏匿	cángnì	to cover up, to conceal, to go into hiding	[sound:cmn-藏匿.mp3]
藏身	藏身	cángshēn	to hide, to go into hiding, to take refuge	[sound:cmn-藏身.mp3]
操心	操心	cāo xīn	to worry about	[sound:cmn-操心.mp3]
操勞	操劳	cāoláo	to work hard, to look after	[sound:cmn-操劳.mp3]
操控	操控	cāokòng	to control, to manipulate	[sound:cmn-操控.mp3]
槽	槽	cáo	trough, manger, groove, channel, (Tw) (computing) hard drive	[sound:cmn-槽.mp3]
草案	草案	cǎoàn	ground plan, plan, blueprint, a protocol, skeleton, a draft plan, a draft, sketch, rough, an outline, draft	[sound:cmn-草案.mp3]
草坪	草坪	cǎopíng	lawn	[sound:cmn-草坪.mp3]
側面	侧面	cèmiàn	lateral side, side, aspect, profile	[sound:cmn-侧面.mp3]
側重	侧重	cèzhòng	to place particular emphasis on	[sound:cmn-侧重.mp3]
測算	测算	cèsuàn	to take measurements and calculate	[sound:cmn-测算.mp3]
測驗	测验	cèyàn	test	[sound:cmn-测验.mp3]
層出不窮	层出不穷	céngchū-bùqióng	more and more emerge, innumerable succession, breeding like flies (idiom)	[sound:cmn-层出不穷.mp3]
蹭	蹭	cèng	to rub against, to walk slowly, to freeload (colloquial)	[sound:cmn-蹭.mp3]
差錯	差错	chācuò	mistake, slip-up, fault, error (in data transmission), accident, mishap	[sound:cmn-差错.mp3]
差額	差额	chāé	balance (financial), discrepancy (in a sum or quota), difference	[sound:cmn-差额.mp3]
插手	插手	chā shǒu	to get involved in, to meddle, interference	[sound:cmn-插手.mp3]
插圖	插图	chātú	illustration	[sound:cmn-插图.mp3]
插嘴	插嘴	chā zuǐ	to interrupt (sb talking), to butt in, to cut into a conversation	[sound:cmn-插嘴.mp3]
茶道	茶道	chádào	Japanese tea ceremony, sado	[sound:cmn-茶道.mp3]
茶館兒	茶馆儿	cháguǎnr5	a teashop	[sound:cmn-茶馆儿.mp3]
查處	查处	cháchǔ	to investigate and handle (a criminal case)	[sound:cmn-查处.mp3]
查明	查明	chámíng	to investigate and find out, to ascertain	[sound:cmn-查明.mp3]
查找	查找	cházhǎo	to search for, to look up	[sound:cmn-查找.mp3]
察覺	察觉	chájué	realize, be aware	[sound:cmn-察觉.mp3]
察看	察看	chákàn	to watch, to look carefully at	[sound:cmn-察看.mp3]
詫異	诧异	chàyì	flabbergasted, astonished	[sound:cmn-诧异.mp3]
摻	掺	càn	variant of 攙|搀[chan1], to mix, to grasp	[sound:cmn-掺.mp3]
攙	搀	chān	to take by the arm and assist, to mix, to blend, to dilute, to adulterate	[sound:cmn-搀.mp3]
饞	馋	chán	gluttonous, greedy, to have a craving	[sound:cmn-馋.mp3]
禪杖	禅杖	chánzhàng	the staff of a Buddhist monk	[sound:cmn-禅杖.mp3]
纏	缠	chán	to wind around, to wrap round, to coil, tangle, to involve, to bother, to annoy	[sound:cmn-缠.mp3]
產	产	chǎn	give birth to, be delivered of, produce	[sound:cmn-产.mp3]
產地	产地	chǎndì	the source (of a product), place of origin, manufacturing location	[sound:cmn-产地.mp3]
產物	产物	chǎnwù	result, development, child, offspring, product, outcome, fruit, progeny, spawn	[sound:cmn-产物.mp3]
產值	产值	chǎnzhí	value of output, output value	[sound:cmn-产值.mp3]
铲	铲	chǎn	to shovel, to remove, spade, shovel	[sound:cmn-铲.mp3]
鏟子	铲子	chǎnzi	shovel, spade, trowel, spatula (kitchen utensil), CL:把[ba3]	[sound:cmn-铲子.mp3]
闡述	阐述	chǎnshù	to expound (a position), to elaborate (on a topic), to treat (a subject)	[sound:cmn-阐述.mp3]
顫抖	颤抖	chàndǒu	to shudder, to shiver, to shake, to tremble	[sound:cmn-颤抖.mp3]
猖狂	猖狂	chāngkuáng	savage, furious	[sound:cmn-猖狂.mp3]
長達	长达	chángdá	lengthen out to	[sound:cmn-长达.mp3]
長期以來	长期以来	chángqīyǐlái	ever since a long time ago	[sound:cmn-长期以来.mp3]
長效	长效	chángxiào	to be effective over an extended period	[sound:cmn-长效.mp3]
長征	长征	chángzhēng	Long March (retreat of the Red Army 1934-1935), expedition, long journey	[sound:cmn-长征.mp3]
長足	长足	chángzú	remarkable (progress, improvement, expansion etc)	[sound:cmn-长足.mp3]
常理	常理	chánglǐ	common sense, conventional reasoning and morals	[sound:cmn-常理.mp3]
常人	常人	chángrén	ordinary person	[sound:cmn-常人.mp3]
常態	常态	chángtài	normal, normalcy, normal conditions, normality, order, conditions, normal behavior/conditions, normal behavior	[sound:cmn-常态.mp3]
常溫	常温	chángwēn	room temperature, ordinary temperatures	[sound:cmn-常温.mp3]
償還	偿还	chánghuán	to repay, to reimburse	[sound:cmn-偿还.mp3]
嫦娥	嫦娥	Chángé	Chang'e, the lady in the moon (Chinese mythology), one of the Chang'e series of PRC lunar spacecraft	[sound:cmn-嫦娥.mp3]
廠家	厂家	chǎngjiā	factory, factory owners	[sound:cmn-厂家.mp3]
敞開	敞开	chǎng kāi	to open wide, unrestrictedly	[sound:cmn-敞开.mp3]
暢談	畅谈	chàngtán	to chat, a long talk, verbose, to talk freely to one's heart's content	[sound:cmn-畅谈.mp3]
暢銷	畅销	chàngxiāo	sell well	[sound:cmn-畅销.mp3]
倡議	倡议	chàngyì	to suggest, to initiate, proposal, initiative	[sound:cmn-倡议.mp3]
抄襲	抄袭	chāoxí	to plagiarize, to copy, to attack the flank or rear of an enemy	[sound:cmn-抄袭.mp3]
鈔票	钞票	chāopiào	bank note, paper money, bill	[sound:cmn-钞票.mp3]
超標	超标	chāo biāo	to cross the limit, to be over the accepted norm, excessive	[sound:cmn-超标.mp3]
超車	超车	chāo chē	to overtake (another car)	[sound:cmn-超车.mp3]
超前	超前	chāoqián	to be ahead of one's time, to surpass or outdo one's predecessors, to be ahead of the pack, to take the lead, advanced	[sound:cmn-超前.mp3]
超速	超速	chāosù	to exceed the speed limit, to speed, high-speed	[sound:cmn-超速.mp3]
朝代	朝代	cháodài	dynasty, reign (of a king)	[sound:cmn-朝代.mp3]
朝著	朝着	cháozhe	facing, advancing (towards)	[sound:cmn-朝着.mp3]
嘲弄	嘲弄	cháonòng	to tease, to poke fun at, to make fun of	[sound:cmn-嘲弄.mp3]
嘲笑	嘲笑	cháoxiào	to jeer at, to deride, to ridicule, mockery, derision	[sound:cmn-嘲笑.mp3]
吵嘴	吵嘴	chǎo zuǐ	to quarrel	[sound:cmn-吵嘴.mp3]
車道	车道	chēdào	traffic lane, driveway	[sound:cmn-车道.mp3]
車禍	车祸	chēhuò	smash-up, road accident, traffic accident	[sound:cmn-车祸.mp3]
車間	车间	chējiān	workshop, CL:個|个[ge4]	[sound:cmn-车间.mp3]
車速	车速	chēsù	vehicle speed	[sound:cmn-车速.mp3]
車輪	车轮	chēlún	wheel	[sound:cmn-车轮.mp3]
車位	车位	chēwèi	parking spot, unloading point, garage place, stand for taxi	[sound:cmn-车位.mp3]
車廂	车厢	chēxiāng	carriage, CL:節|节[jie2]	[sound:cmn-车厢.mp3]
車型	车型	chēxíng	Model	[sound:cmn-车型.mp3]
車軸	车轴	chēzhóu	axle, CL:根[gen1]	[sound:cmn-车轴.mp3]
扯	扯	chě	variant of 扯[che3], to pull, to tear	[sound:cmn-扯.mp3]
徹夜	彻夜	chèyè	the whole night	[sound:cmn-彻夜.mp3]
撤	撤	chè	to remove, to take away, to withdraw	[sound:cmn-撤.mp3]
撤換	撤换	chèhuàn	recall, dismiss and replace	[sound:cmn-撤换.mp3]
沉甸甸	沉甸甸	chéndiàndiàn	heavy	[sound:cmn-沉甸甸.mp3]
沉澱	沉淀	chéndiàn	to settle, to precipitate (solid sediment out of a solution)	[sound:cmn-沉淀.mp3]
沉浸	沉浸	chénjìn	to soak, to permeate, to immerse	[sound:cmn-沉浸.mp3]
沉悶	沉闷	chénmèn	oppressive (of weather), heavy, depressed, not happy, (of sound) dull, muffled	[sound:cmn-沉闷.mp3]
沉迷	沉迷	chénmí	to be engrossed, to be absorbed with, to lose oneself in, to be addicted to	[sound:cmn-沉迷.mp3]
沉思	沉思	chénsī	to contemplate, to ponder, contemplation, meditation	[sound:cmn-沉思.mp3]
沉穩	沉稳	chénwěn	steady, calm, unflustered	[sound:cmn-沉稳.mp3]
沉著	沉着	chénzhuó	steady, calm and collected, not nervous	[sound:cmn-沉着.mp3]
陳舊	陈旧	chénjiù	old-fashioned	[sound:cmn-陈旧.mp3]
陳列	陈列	chénliè	display, exhibit	[sound:cmn-陈列.mp3]
陳述	陈述	chénshù	an assertion, to declare, to state	[sound:cmn-陈述.mp3]
襯托	衬托	chèntuō	to set off	[sound:cmn-衬托.mp3]
趁	趁	chèn	while	[sound:cmn-趁.mp3]
趁機	趁机	chènjī	seizing the chance, take advantage of occasion, taking advantage of the occasion, seize chance	[sound:cmn-趁机.mp3]
趁早	趁早	chènzǎo	as soon as possible, at the first opportunity, the sooner the better, before it's too late	[sound:cmn-趁早.mp3]
趁著	趁着	chènzhe	while	[sound:cmn-趁着.mp3]
稱呼	称呼	chēnghu	call, address	[sound:cmn-称呼.mp3]
稱作	称作	chēngzuò	to be called, to be known as	[sound:cmn-称作.mp3]
成才	成才	chéng cái	to make sth of oneself, to become a person who is worthy of respect	[sound:cmn-成才.mp3]
成家	成家	chéng jiā	to settle down and get married (of a man), to become a recognized expert	[sound:cmn-成家.mp3]
成年	成年	chéng nián	to grow to adulthood, fully grown, the whole year	[sound:cmn-成年.mp3]
成千上萬	成千上万	chéngqiān-shàngwàn	lit. by the thousands and tens of thousands (idiom), untold numbers, innumerable, thousands upon thousands	[sound:cmn-成千上万.mp3]
成群結隊	成群结队	chéngqún-jiéduì	making up a group, forming a troupe (idiom), in large numbers, as a large crowd	[sound:cmn-成群结队.mp3]
成天	成天	chéngtiān	(coll.) all day long, all the time	[sound:cmn-成天.mp3]
成問題	成问题	chéng wèntí	Problem	[sound:cmn-成问题.mp3]
成型	成型	chéngxíng	to become shaped, to become formed	[sound:cmn-成型.mp3]
呈現	呈现	chéngxiàn	assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth	[sound:cmn-呈现.mp3]
誠懇	诚恳	chéngkěn	sincere	[sound:cmn-诚恳.mp3]
誠心誠意	诚心诚意	chéngxīn-chéngyì	earnestly and sincerely (idiom), with all sincerity	[sound:cmn-诚心诚意.mp3]
誠意	诚意	chéngyì	candour, singleness, sincerity, good faith, candor	[sound:cmn-诚意.mp3]
誠摯	诚挚	chéngzhì	sincere, cordial	[sound:cmn-诚挚.mp3]
承包	承包	chéngbāo	to contract, to undertake (a job)	[sound:cmn-承包.mp3]
承載	承载	chéngzài	to bear the weight, to sustain	[sound:cmn-承载.mp3]
城牆	城墙	chéngqiáng	enceinte, city wall, rampart	[sound:cmn-城墙.mp3]
乘人之危	乘人之危	chéngrénzhīwēi	to take advantage of sb's precarious position	[sound:cmn-乘人之危.mp3]
盛	盛	shèng	flourishing, prosperous, vigorous, energetic, magnificent, grand, abundant, plentiful, popular, widespread	[sound:cmn-盛.mp3]
懲處	惩处	chéngchǔ	to punish, to administer justice	[sound:cmn-惩处.mp3]
懲罰	惩罚	chéngfá	penalty, punishment, to punish	[sound:cmn-惩罚.mp3]
澄清	澄清	chéngqīng	clear up, clarify	[sound:cmn-澄清.mp3]
橙汁	橙汁	chéngzhī	orange juice, CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]	[sound:cmn-橙汁.mp3]
逞能	逞能	chěng néng	to show off one's ability, to boast one's merits	[sound:cmn-逞能.mp3]
逞強	逞强	chěng qiáng	to show off, to try to be brave	[sound:cmn-逞强.mp3]
秤	秤	chèng	variant of 稱|称[cheng1], to weigh, steelyard, Roman balance, CL:臺|台[tai2]	[sound:cmn-秤.mp3]
吃不上	吃不上	chībushàng	unable to get anything to eat, to miss a meal	[sound:cmn-吃不上.mp3]
吃喝玩樂	吃喝玩乐	chīhē-wánlè	to eat, drink and be merry (idiom), to abandon oneself to a life of pleasure	[sound:cmn-吃喝玩乐.mp3]
吃苦	吃苦	chī kǔ	to bear hardships	[sound:cmn-吃苦.mp3]
吃虧	吃亏	chī kuī	get the worst of it, come to grief, suffer loss, suffer losses	[sound:cmn-吃亏.mp3]
痴呆	痴呆	chīdāi	imbecility, dementia	[sound:cmn-痴呆.mp3]
痴迷	痴迷	chīmí	infatuated, obsessed	[sound:cmn-痴迷.mp3]
痴心	痴心	chīxīn	infatuation	[sound:cmn-痴心.mp3]
池塘	池塘	chítáng	pool, pond	[sound:cmn-池塘.mp3]
馳名	驰名	chímíng	famous	[sound:cmn-驰名.mp3]
遲遲	迟迟	chíchí	late (with a task etc), slow	[sound:cmn-迟迟.mp3]
遲疑	迟疑	chíyí	to hesitate	[sound:cmn-迟疑.mp3]
遲早	迟早	chízǎo	sooner or later	[sound:cmn-迟早.mp3]
持	持	chí	hold, grasp	[sound:cmn-持.mp3]
持久	持久	chíjiǔ	lasting, enduring, persistent, permanent, protracted, endurance, persistence, to last long	[sound:cmn-持久.mp3]
持之以恆	持之以恒	chízhīyǐhéng	to pursue unremittingly (idiom), to persevere	[sound:cmn-持之以恒.mp3]
尺度	尺度	chǐdù	measure, scale	[sound:cmn-尺度.mp3]
恥辱	耻辱	chǐrǔ	disgrace, shame, humiliation	[sound:cmn-耻辱.mp3]
恥笑	耻笑	chǐxiào	to sneer at sb, to ridicule	[sound:cmn-耻笑.mp3]
